ApplicationDate,Age,CreditScore,EducationLevel,Experience,LoanAmount,MaritalStatus,HomeOwnershipStatus,ID,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore
13-02-2018,36,590,High School,16,10176,Divorced,Own,A044,2.13,1,Education,23,11162,43010,7,17.65,53
14-02-2018,22,500,High School,1,20169,Single,Rent,A045,10.4,0,Debt Consolidation,25,1929,16965,4,24.23,55
15-02-2018,31,530,High School,7,53987,Single,Other,A046,46.4,0,Auto,31,4218,165299,3,32.67,54
16-02-2018,34,545,High School,13,20996,Divorced,Other,A047,37.4,0,Other,19,16502,17748,2,27.95,50
17-02-2018,52,631,Associate,31,29418,Divorced,Own,A048,2.57,1,Education,28,9902,12300,4,21.76,47
18-02-2018,44,627,High School,20,20409,Widowed,Rent,A049,28.2,4,Home,22,3379,165235,5,26.37,46
19-02-2018,18,519,High School,0,10077,Single,Mortgage,A050,1.59,0,Debt Consolidation,20,5076,25120,8,26.06,50
20-02-2018,43,653,Doctorate,25,41215,Divorced,Mortgage,A051,5.32,1,Other,30,1365,188167,8,18.46,32
21-02-2018,35,526,Associate,13,20612,Married,Own,A052,14.4,2,Education,25,4127,51140,6,23.16,53
22-02-2018,31,592,Associate,11,29501,Married,Other,A053,231,0,Home,18,2220,19637,4,21.42,51
23-02-2018,47,631,High School,27,36798,Widowed,Mortgage,A054,22.4,1,Auto,27,3281,32072,6,16.76,39
24-02-2018,52,586,Bachelor,28,19717,Married,Rent,A055,3.72,2,Auto,19,801,94338,8,21.81,38
25-02-2018,51,615,Bachelor,27,16173,Divorced,Mortgage,A056,21,0,Debt Consolidation,28,21739,39354,2,22.13,XX
26-02-2018,29,498,Associate,5,10566,Married,Other,A057,44.3,2,Debt Consolidation,22,30896,278821,5,20.94,48
27-02-2018,36,499,Associate,11,5376,Single,Mortgage,A058,3.67,2,Auto,28,983,37496,3,24.84,42
28-02-2018,43,616,Bachelor,18,23181,Married,Rent,A059,23.4,2,Debt Consolidation,22,3815,22524,4,25.22,63
01-03-2018,51,653,Master,33,48331,Single,Mortgage,A060,11.6,1,Auto,22,21204,201313,4,27.37,44
02-03-2018,34,607,Master,11,26412,Married,Own,A061,3.12,2,Home,18,2232,234374,6,27.64,48
03-03-2018,37,600,High School,16,21225,Divorced,Rent,A062,5.18,0,Education,22,1458,44836,4,23.11,XX
04-03-2018,26,527,Bachelor,5,22854,Married,Rent,A063,954,1,Education,19,8710,39027,5,19.99,39
05-03-2018,25,576,High School,1,18177,Single,Mortgage,A064,2.73,1,Home,25,5689,99036,3,21.98,57
06-03-2018,49,611,Bachelor,30,17466,Married,Own,A065,2.8,0,Auto,23,3167,44944,9,22.14,55
07-03-2018,56,574,Associate,37,16443,Divorced,Own,A066,2.83,1,Home,23,2682,204131,2,17.36,48
08-03-2018,39,615,Associate,NaN,26889,Married,Mortgage,A067,796,0,Debt Consolidation,29,8241,115099,4,17.15,42
09-03-2018,52,647,Bachelor,29,32208,Married,Rent,A068,4.13,0,Auto,26,2926,326015,3,15.07,50
10-03-2018,44,649,Bachelor,21,20313,Married,Rent,A069,4.33,2,Home,22,4029,94575,5,19.89,50
11-03-2018,32,620,Bachelor,11,20676,Single,Mortgage,A070,2.63,1,Home,32,4943,92000,1,17.77,36
12-03-2018,44,535,High School,20,21767,Married,Mortgage,A071,24.5,0,Education,32,21032,22711,8,29.91,56
13-03-2018,58,672,Bachelor,34,18243,Married,Mortgage,A072,2.97,0,Debt Consolidation,20,1980,13542,6,14.04,34
14-03-2018,39,619,Master,16,28894,Single,Mortgage,A073,2.63,1,Other,24,2857,154003,6,21.41,33
15-03-2018,58,612,High School,38,25313,Married,Mortgage,A074,291,0,Education,20,2811,123931,3,19.69,50
16-03-2018,18,570,Associate,0,50226,Married,Mortgage,A075,20.8,0,Debt Consolidation,16,3575,153676,3,22.83,58
17-03-2018,49,617,Bachelor,25,25478,Married,Mortgage,A076,7.32,0,Auto,11,2267,42122,0,17.93,49
18-03-2018,41,523,Associate,16,26493,Single,Mortgage,A077,4.15,0,Other,24,2003,64414,1,33.44,51
19-03-2018,36,531,Bachelor,14,18652,Single,Rent,A078,16.5,2,Auto,30,1810,446359,2,28.57,53
20-03-2018,41,619,Bachelor,19,31116,Single,Rent,A079,12.3,1,Home,20,3025,11209,3,21.54,50
21-03-2018,18,545,Doctorate,0,112253,Married,Rent,A080,3.06,1,Home,33,1506,18390,4,35.84,64
22-03-2018,37,618,Master,14,41465,Married,Own,A081,17.4,0,Home,26,21978,197632,4,29.27,45
23-03-2018,44,588,High School,23,26563,Married,Mortgage,A082,30.8,3,Home,24,1357,496594,6,20.98,48
24-03-2018,57,615,Associate,39,7469,Single,Rent,A083,11.3,2,Home,18,1872,36531,6,19.88,36
25-03-2018,33,540,Associate,8,17801,Married,Own,A084,15.3,1,Debt Consolidation,38,8380,70945,5,24.38,55
26-03-2018,30,517,High School,4,14379,Married,Rent,A085,3.57,0,Auto,18,6094,172820,4,23.96,53
27-03-2018,33,570,Associate,12,40138,Married,Other,A086,14.1,1,Debt Consolidation,28,1461,86250,4,24.86,53
28-03-2018,50,663,Bachelor,30,24642,Single,Rent,A087,25.2,0,Home,28,4726,52202,4,21.64,44
29-03-2018,43,524,Master,21,19105,Married,Mortgage,A088,10.6,0,Education,24,9197,49889,6,20.96,49
30-03-2018,33,620,Master,11,9259,Single,Own,A089,17,0,Home,23,3552,61154,3,20,47
31-03-2018,46,623,High School,22,17468,Married,Other,A090,8.74,0,Debt Consolidation,23,7428,299192,2,23.2,41
01-04-2018,41,585,Bachelor,18,20069,Married,Rent,A091,59.2,0,Home,25,3815,24114,4,26.82,XX
02-04-2018,51,596,Bachelor,30,66582,Single,Rent,A092,5.66,2,Home,21,2313,30153,5,24.74,61
03-04-2018,31,524,High School,11,26889,Married,Mortgage,A093,22.1,1,Auto,14,24764,131521,4,24.07,57
04-04-2018,36,610,Associate,12,24815,Married,Other,A094,10.3,1,Home,21,4346,127009,6,21.35,38
05-04-2018,35,562,Master,11,21849,Married,Rent,A095,5.15,1,Debt Consolidation,24,1874,18522,5,24.41,58
06-04-2018,22,570,Associate,0,22734,Single,Rent,A096,432,2,Debt Consolidation,29,2511,449345,7,17.46,45
07-04-2018,43,645,Doctorate,22,19539,Single,Other,A097,7.15,0,Debt Consolidation,29,5995,101618,4,16.96,36
08-04-2018,43,601,Bachelor,17,25291,Married,Mortgage,A098,5.09,0,Auto,19,7167,99978,9,22.33,49
09-04-2018,40,592,Associate,21,15752,Married,Mortgage,A099,4.25,0,Debt Consolidation,20,1349,97769,5,26.16,50
10-04-2018,37,539,High School,13,28714,Married,Rent,A100,41.4,1,Home,10,5872,331208,8,24.41,46
11-04-2018,23,509,High School,4,35101,Married,Rent,A101,3.57,0,Home,23,3233,84421,5,31.65,49
12-04-2018,34,612,Bachelor,13,17339,Single,Mortgage,A102,8.73,1,Education,17,2738,55729,4,23.21,48
13-04-2018,35,596,Bachelor,9,37172,Divorced,Mortgage,A103,2.62,0,Home,20,2103,56452,6,22.45,XX
14-04-2018,30,608,Bachelor,6,15917,Married,Own,A104,16.4,2,Home,23,3382,54668,3,18.76,44
15-04-2018,38,587,Bachelor,17,11431,Divorced,Mortgage,A105,1.26,0,Education,27,7060,119670,9,19.61,40
16-04-2018,44,597,Master,23,34590,Divorced,Rent,A106,30.4,1,Home,22,2050,3628,8,21.41,50
17-04-2018,62,656,Associate,39,13937,Widowed,Mortgage,A107,24.8,2,Home,32,1960,62442,4,22.97,55
18-04-2018,42,517,Bachelor,18,22221,Single,Mortgage,A108,2.83,3,Auto,41,3930,80888,3,26.54,57
19-04-2018,43,487,Bachelor,18,38865,Married,Rent,A109,24.9,3,Auto,20,395,49718,3,28.64,64
20-04-2018,39,536,High School,17,23396,Single,Mortgage,A110,10.3,0,Debt Consolidation,28,470,23801,6,29.94,54
21-04-2018,18,608,Master,0,10667,Single,Mortgage,A111,2.21,0,Auto,23,1134,71561,5,24,43
22-04-2018,39,565,Bachelor,16,35551,Married,Mortgage,A112,2.4,0,Auto,22,4159,33268,4,25.41,61
23-04-2018,40,558,High School,18,31637,Married,Own,A113,17.2,2,Auto,22,9140,141270,4,30.27,47
24-04-2018,69,680,Master,49,34173,Married,Rent,A114,15.8,2,Home,20,2220,78008,7,19.11,46
25-04-2018,37,525,Master,14,18493,Married,Rent,A115,8.59,1,Auto,25,3120,99630,3,25.34,53
26-04-2018,43,609,Bachelor,21,17161,Married,Other,A116,36.2,4,Debt Consolidation,21,10050,17627,8,25.8,51
27-04-2018,39,611,Associate,16,31845,Divorced,Rent,A117,3.74,2,Home,32,1192,30751,7,26.56,60
28-04-2018,25,572,Doctorate,4,25900,Married,Mortgage,A118,11.1,2,Home,29,9920,36312,6,23.77,50
29-04-2018,53,626,High School,30,15770,Married,Mortgage,A119,22.7,0,Debt Consolidation,22,14266,15028,3,20.61,56
30-04-2018,49,564,Bachelor,29,19629,Single,Rent,A120,2.84,1,Home,18,993,91813,1,26.4,51
01-05-2018,49,574,High School,28,20270,Divorced,Mortgage,A121,15.3,0,Education,28,3070,31257,5,21.96,51
02-05-2018,29,580,Associate,7,12133,Widowed,Own,A122,4.56,1,Home,20,16833,18425,5,21.81,40
03-05-2018,56,634,Master,30,25599,Married,Rent,A123,24.2,1,Home,25,2458,73848,7,22.83,59
04-05-2018,23,603,Bachelor,0,12055,Married,Other,A124,10.5,0,Education,26,1924,50167,5,17.54,41
05-05-2018,47,602,Bachelor,22,18805,Married,Mortgage,A125,4.68,1,Home,24,13605,50714,3,23.24,XX
06-05-2018,66,669,Associate,41,20719,Single,Mortgage,A126,32,1,Auto,28,8124,636666,6,13.94,28
07-05-2018,28,621,Master,0,18962,Single,Mortgage,A127,21.5,0,Debt Consolidation,36,8955,89846,3,24.09,XX
08-05-2018,33,565,Associate,10,9093,Married,Own,A128,3.08,0,Auto,18,6607,13714,2,23.29,40
09-05-2018,41,551,High School,16,15086,Married,Mortgage,A129,2.62,0,Debt Consolidation,24,562,64928,7,23.26,40
10-05-2018,33,523,Bachelor,8,13879,Married,Rent,A130,25.8,2,Auto,29,12973,27247,2,26.9,56
11-05-2018,21,560,Associate,0,27917,Married,Own,A131,30.7,0,Auto,27,3003,290530,6,20.82,37
12-05-2018,40,585,High School,14,41561,Divorced,Other,A132,38,1,Home,21,489,48731,3,21.4,53
13-05-2018,27,590,Master,5,9493,Married,Mortgage,A133,644,1,Home,27,2012,112110,9,19.19,40
14-05-2018,45,602,Bachelor,23,18805,Divorced,Other,A134,22.1,2,Home,32,667,63386,2,23.79,47
15-05-2018,28,620,Master,5,18686,Married,Rent,A135,12.2,1,Education,24,4575,9316,10,22.77,49
16-05-2018,58,621,Bachelor,36,16421,Married,Rent,A136,19.1,0,Home,28,1619,48831,4,19.8,40
17-05-2018,30,539,High School,7,29824,Married,Rent,A137,18.4,0,Education,17,2548,220116,0,23.89,46
18-05-2018,36,439,High School,10,5538,Divorced,Mortgage,A138,3.31,1,Other,26,2471,203672,7,25.62,40
19-05-2018,49,499,Master,27,13078,Married,Other,A139,148,2,Debt Consolidation,24,1121,40099,6,25.58,60
20-05-2018,25,439,High School,3,40858,Single,Rent,A140,17.2,0,Auto,28,427,51633,2,31.24,56
21-05-2018,42,521,Bachelor,19,16462,Married,Other,A141,3.68,1,Auto,24,4608,44150,7,28.8,55
22-05-2018,55,643,High School,33,10990,Married,Own,A142,3.06,2,Auto,25,4279,130005,4,20.38,35
23-05-2018,20,581,Bachelor,1,6624,Married,Mortgage,A143,46.4,2,Other,27,2857,78348,6,17.33,58
24-05-2018,42,520,High School,21,20915,Divorced,Other,A144,3.92,2,Auto,25,1085,8920,1,24.57,57
25-05-2018,43,564,High School,19,25148,Single,Mortgage,A145,5.13,1,Home,20,4138,226679,8,24.13,56
26-05-2018,49,612,Bachelor,24,51374,Married,Rent,A146,11.6,2,Home,35,10374,45230,8,27.77,47
27-05-2018,25,598,Associate,5,17992,Single,Rent,A147,11.4,1,Debt Consolidation,31,915,19626,5,27.23,51
28-05-2018,24,513,Bachelor,4,26598,Divorced,Rent,A148,4.62,1,Debt Consolidation,24,288,32463,4,27.27,55
29-05-2018,46,612,Bachelor,23,30836,Divorced,Mortgage,A149,6.05,0,Education,26,7528,62262,5,23.66,54
30-05-2018,43,548,Bachelor,25,21110,Married,Other,A150,5.77,1,Education,30,10586,190056,5,24.73,54
31-05-2018,43,594,Associate,21,17603,Married,Own,A151,1.58,5,Auto,19,612,24284,3,29.29,55
01-06-2018,44,605,Bachelor,25,32684,Married,Mortgage,A152,6.35,0,Debt Consolidation,31,673,57941,5,23.23,50
02-06-2018,31,500,Master,6,24760,Single,Rent,A153,1.22,1,Home,15,2593,12750,6,26.81,53
03-06-2018,42,536,Bachelor,21,30150,Married,Own,A154,4.11,3,Debt Consolidation,19,8298,33961,7,25.88,59
04-06-2018,43,547,Bachelor,17,17390,Married,Mortgage,A155,1.43,0,Debt Consolidation,28,12906,131041,3,23.8,48
05-06-2018,31,575,Master,6,27214,Married,Own,A156,21.6,1,Other,20,4698,99134,1,22.67,60
06-06-2018,62,682,Master,41,13197,Married,Own,A157,2.2,2,Auto,22,4853,51962,9,22.45,59
07-06-2018,45,557,Associate,25,10868,Single,Own,A158,18.5,4,Home,18,3489,79807,8,24.68,43
08-06-2018,25,574,Doctorate,3,5163,Married,Rent,A159,3.06,0,Debt Consolidation,27,3141,38198,6,25.16,51
09-06-2018,47,587,High School,25,12824,Married,Rent,A160,6.25,2,Debt Consolidation,30,1622,63582,6,18.21,61
10-06-2018,28,546,Doctorate,5,11336,Married,Mortgage,A161,749,2,Debt Consolidation,27,1517,125642,9,21.24,36
11-06-2018,49,594,High School,28,5789,Single,Mortgage,A162,31,4,Debt Consolidation,32,1632,87958,7,19.51,61
12-06-2018,53,545,Associate,29,39203,Single,Rent,A163,43.8,0,Debt Consolidation,26,21809,22131,3,20.82,40
13-06-2018,30,628,Master,7,15647,Married,Mortgage,A164,3.29,1,Debt Consolidation,31,8060,52153,4,19.68,64
14-06-2018,51,618,High School,29,21715,Married,Rent,A165,28.4,1,Debt Consolidation,30,2879,33213,10,19.1,45
15-06-2018,44,609,High School,23,33644,Divorced,Rent,A166,8.34,0,Home,28,1967,64119,3,22.63,54
16-06-2018,49,653,Bachelor,27,36208,Married,Other,A167,26.1,0,Debt Consolidation,32,2043,70652,6,17.1,XX
17-06-2018,62,633,Bachelor,41,18943,Divorced,Rent,A168,5.21,0,Home,24,966,92153,5,18.54,54
18-06-2018,37,553,High School,14,38934,Married,Own,A169,2.71,0,Home,26,636,2612797,4,22.17,42
19-06-2018,30,583,Associate,7,6423,Married,Own,A170,18.9,1,Other,20,2411,73838,5,19.74,51
20-06-2018,29,590,Associate,6,11657,Married,Rent,A171,445,0,Auto,15,1570,61242,7,32.59,66
21-06-2018,30,591,High School,4,20536,Married,Mortgage,A172,3.07,2,Auto,27,20114,124093,11,19.59,46
22-06-2018,39,582,Bachelor,17,9741,Married,Other,A173,52.2,0,Home,30,2817,118511,13,24.44,50
23-06-2018,44,524,High School,19,23007,Single,Rent,A174,2.54,2,Auto,25,2596,10777,6,24.43,40
24-06-2018,43,581,Associate,20,40424,Married,Rent,A175,24.5,1,Home,28,3207,102225,2,19.03,51
25-06-2018,49,568,Bachelor,27,24156,Married,Other,A176,41.8,0,Other,28,7110,161014,4,25.99,36
26-06-2018,40,625,Master,18,17289,Married,Mortgage,A177,3.81,0,Education,24,3966,100795,5,23.17,38
27-06-2018,57,614,Bachelor,35,31937,Widowed,Own,A178,1.47,2,Auto,25,958,32453,4,18.55,50
28-06-2018,36,558,High School,13,11938,Married,Rent,A179,4.87,1,Debt Consolidation,23,2782,59951,2,21.04,40
29-06-2018,72,511,Bachelor,51,27962,Married,Own,A180,10.6,0,Debt Consolidation,26,1314,89023,5,28.17,54
30-06-2018,47,654,Master,27,13145,Single,Mortgage,A181,1.24,1,Education,27,687,85222,8,19.6,32
01-07-2018,29,517,Bachelor,5,26850,Married,Mortgage,A182,1.69,0,Auto,22,1462,54547,6,30.82,58
02-07-2018,27,612,Associate,3,15007,Single,Mortgage,A183,126,1,Education,23,1934,133058,6,18.81,57
03-07-2018,45,652,Doctorate,21,19372,Divorced,Own,A184,24.4,0,Auto,26,3583,288436,3,18.58,44
04-07-2018,37,565,Bachelor,14,15091,Married,Mortgage,A185,2.16,1,Education,28,4080,12695,3,23.15,40
05-07-2018,48,579,Master,24,17310,Married,Mortgage,A186,2.41,0,Home,18,1689,31979,5,21.88,39
06-07-2018,45,579,Bachelor,21,61376,Married,Rent,A187,3.14,0,Home,34,922,29842,3,29.39,56
07-07-2018,39,515,High School,NaN,25068,Married,Mortgage,A188,11.9,0,Education,17,3131,68899,2,23.91,48
08-07-2018,29,557,High School,8,27440,Married,Own,A189,47.6,1,Debt Consolidation,25,1785,9716,5,30.47,65
09-07-2018,21,540,Bachelor,1,12927,Single,Mortgage,A190,11.6,1,Home,21,1176,159098,7,20.86,58
10-07-2018,34,592,Associate,12,17292,Married,Rent,A191,38,2,Education,28,3053,44477,5,25.47,53
11-07-2018,50,498,Associate,28,23552,Married,Rent,A192,23.6,2,Other,23,2429,43095,2,24.26,44
12-07-2018,42,553,High School,20,12176,Single,Rent,A193,17.6,1,Auto,22,4326,39483,8,23.9,65
13-07-2018,25,620,Master,6,38807,Single,Other,A194,7.3,1,Debt Consolidation,38,2111,68351,5,19.55,53
14-07-2018,42,603,Master,16,21883,Married,Rent,A195,11.8,1,Auto,31,2478,326068,4,20.04,32
15-07-2018,44,487,Associate,22,18609,Single,Mortgage,A196,4.19,0,Education,25,1370,24626,5,27.39,40
16-07-2018,29,606,Bachelor,6,40220,Married,Mortgage,A197,5.13,6,Auto,31,14454,82416,4,22.38,55
17-07-2018,41,583,High School,16,16570,Married,Mortgage,A198,22.7,1,Home,23,713,22214,5,23.19,55
18-07-2018,40,564,Bachelor,22,11236,Divorced,Mortgage,A199,42.8,1,Debt Consolidation,28,1477,100659,4,19.17,53
19-07-2018,26,600,Associate,5,25519,Single,Mortgage,A200,32,1,Auto,25,4763,9573,9,19.91,40
20-07-2018,44,630,Bachelor,22,38766,Single,Rent,A201,19,1,Auto,10,2332,90534,8,23.93,XX
21-07-2018,46,472,Associate,24,31990,Married,Mortgage,A202,29.2,1,Debt Consolidation,27,11754,22172,1,33.25,57
22-07-2018,52,640,Associate,30,11580,Married,Own,A203,18.8,2,Auto,19,9144,144771,5,16.33,39
23-07-2018,52,550,High School,27,37597,Single,Other,A204,10.9,2,Home,22,3363,17299,6,29.17,51
24-07-2018,23,593,High School,0,28352,Single,Own,A205,3.65,2,Home,24,24249,38825,3,20.81,54
25-07-2018,28,622,Master,4,12414,Divorced,Own,A206,4.68,1,Home,18,1133,13939,5,15.71,40
26-07-2018,46,613,High School,23,12648,Married,Mortgage,A207,153,0,Home,30,2266,25164,4,25.51,56
27-07-2018,46,576,High School,26,29172,Single,Mortgage,A208,12.6,2,Debt Consolidation,23,2493,16901,5,24.59,58
28-07-2018,46,558,Associate,28,34869,Single,Rent,A209,28.8,1,Auto,26,15200,15851,5,34.24,65
29-07-2018,80,656,Associate,61,29111,Married,Rent,A210,353,4,Auto,19,3972,45290,7,18.99,47
30-07-2018,46,535,Bachelor,23,26549,Married,Rent,A211,10.9,2,Debt Consolidation,19,652,29282,8,22.38,56
31-07-2018,53,628,Associate,30,20367,Single,Own,A212,21.8,2,Auto,30,2369,149155,8,18.27,39
01-08-2018,51,617,High School,29,22186,Widowed,Rent,A213,2.81,2,Home,23,10910,54770,3,21.59,49
02-08-2018,47,490,High School,25,22280,Married,Own,A214,21.9,1,Other,28,1701,21711,2,31.15,XX
03-08-2018,36,604,High School,9,60460,Married,Own,A215,3.44,1,Debt Consolidation,22,48211,67394,3,22.76,47
04-08-2018,49,571,Associate,28,14526,Married,Rent,A216,985,0,Auto,19,23933,366111,3,20.69,36
05-08-2018,30,510,Master,6,18086,Married,Rent,A217,966,0,Debt Consolidation,22,1038,165933,4,24.64,XX
06-08-2018,37,566,High School,14,23838,Divorced,Mortgage,A218,1.27,2,Home,24,2011,144098,7,21.83,51
07-08-2018,34,522,Bachelor,12,12419,Divorced,Other,A219,4.32,1,Education,28,2935,51753,7,23.17,59
08-08-2018,40,535,Bachelor,NaN,16775,Married,Mortgage,A220,2.8,1,Auto,26,3368,106697,5,23.84,40
09-08-2018,67,626,High School,42,44904,Divorced,Rent,A221,38.9,0,Debt Consolidation,16,1303,98472,8,33.1,50
10-08-2018,18,578,Bachelor,0,20677,Divorced,Rent,A222,2.79,0,Debt Consolidation,26,6127,36486,4,23.41,56
11-08-2018,48,574,Bachelor,24,82538,Married,Mortgage,A223,4.01,2,Auto,25,7826,24320,4,28.86,59
12-08-2018,20,544,Bachelor,0,36261,Divorced,Mortgage,A224,11.8,2,Home,25,3678,175920,3,28.19,54
13-08-2018,34,614,Master,11,12604,Single,Rent,A225,5.45,1,Debt Consolidation,30,5395,13039,4,15.72,40
14-08-2018,53,505,Associate,30,36455,Married,Mortgage,A226,4.39,0,Debt Consolidation,34,3055,138955,6,28.21,51
15-08-2018,40,601,High School,19,38810,Single,Mortgage,A227,4.95,0,Home,12,6120,171618,2,21.12,47
16-08-2018,27,545,Bachelor,5,28201,Single,Mortgage,A228,8.89,2,Home,15,2290,24830,2,29.85,53
17-08-2018,31,445,High School,10,91631,Married,Rent,A229,4.47,1,Debt Consolidation,29,1428,72147,3,39.61,XX
18-08-2018,48,615,Associate,24,15122,Married,Mortgage,A230,17.1,1,Education,25,6834,122221,5,18.1,40
19-08-2018,31,537,Master,9,27822,Divorced,Mortgage,A231,3.13,2,Education,21,4771,120149,6,22.6,55
20-08-2018,42,575,Bachelor,22,20087,NA,Rent,A232,49,3,Home,29,12504,43108,5,23.88,61
21-08-2018,40,574,Associate,19,38284,NA,Rent,A233,14.5,1,Other,16,7697,135135,8,22.82,53
22-08-2018,32,506,High School,14,9077,Widowed,Rent,A234,9.95,2,Other,23,1218,58686,5,24.65,56
23-08-2018,65,599,High School,43,17067,Single,Own,A235,18.4,1,Auto,23,22121,38426,4,21.92,57
24-08-2018,47,550,High School,24,21565,Single,Rent,A236,2.12,0,Debt Consolidation,28,41840,70635,5,23.25,54
25-08-2018,18,551,Master,0,35284,Single,Other,A237,29.6,2,Home,23,2316,302488,1,32.52,54
26-08-2018,42,599,Doctorate,16,28863,Single,Mortgage,A238,6.57,1,Other,25,823,197025,5,24.5,50
