ID,ApplicationDate,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved
A032,01-02-2018,73843,Unemployed,37,60,1,388,7,1,0,3,3352,90622,3068,0
A033,02-02-2018,61099,Employed,19,84,0,380,1,0,0,19,1795,23540,46283,0
A034,03-02-2018,15000,Employed,4,120,2,721,2,0,0,18,3835,13680,290269,0
A035,04-02-2018,34738,Employed,25,72,2,388,3,0,0,4,2757,10972,238326,0
A036,05-02-2018,85889,Employed,3,72,2,870,4,0,0,10,1110,5554,13345,0
A037,06-02-2018,78701,Employed,18,60,1,482,6,0,0,19,1585,30154,140566,1
A038,07-02-2018,24914,Employed,0,36,4,327,1,0,0,28,199,8146,41853,1
A039,08-02-2018,57231,Unemployed,0,48,4,370,3,0,0,21,242,73682,140547,0
A040,09-02-2018,163303,Self-Employed,23,72,2,337,3,0,0,1,309,17900,97422,1
A041,10-02-2018,38453,Unemployed,26,48,0,560,0,0,0,20,1539,3481,42871,0
A042,11-02-2018,99920,Self-Employed,20,12,3,298,3,0,0,11,288,23569,4209,1
A043,12-02-2018,57860,Employed,20,96,4,159,3,0,0,1,427,25653,437436,0
A044,13-02-2018,30890,Employed,16,24,2,289,3,0,0,6,249,28334,14676,0
A045,14-02-2018,15561,Employed,1,36,2,346,6,0,0,13,1463,5913,11052,0
A046,15-02-2018,105957,Employed,7,72,0,399,0,0,0,16,208,69541,95758,0
A047,16-02-2018,82887,Employed,13,84,2,471,2,0,0,8,1246,117394,4958,0
A048,17-02-2018,53555,Employed,31,60,1,221,0,0,0,20,1607,27582,2753,0
A049,18-02-2018,105639,Employed,20,108,0,387,1,0,0,21,5476,22300,142935,0
A050,19-02-2018,58342,Employed,0,24,3,592,3,0,0,7,230,15562,9558,0
A051,20-02-2018,121939,Employed,25,48,0,220,2,0,0,12,4000,2457,185710,1
A052,21-02-2018,16054,Employed,13,36,1,465,1,0,0,21,665,11870,39270,0
A053,22-02-2018,36057,Employed,11,36,3,384,4,0,0,12,438,56982,1500,0
A054,23-02-2018,124086,Employed,27,24,3,713,6,0,0,24,1704,21593,10479,1
A055,24-02-2018,272693,Employed,28,84,0,278,2,0,0,13,1835,5443,88895,1
A056,25-02-2018,48757,Employed,27,84,3,817,1,0,0,19,266,97462,3120,0
A057,26-02-2018,31683,Employed,5,24,2,183,4,0,0,12,2581,123883,154938,0
A058,27-02-2018,69003,Self-Employed,11,96,4,458,6,0,0,11,1153,23994,13502,1
A059,28-02-2018,72408,Employed,18,48,0,803,1,1,0,29,305,33442,5786,0
A060,01-03-2018,105087,Employed,33,108,1,772,5,0,1,24,2121,59261,142052,0
A061,02-03-2018,15000,Employed,11,96,1,468,1,0,0,22,2085,11163,223211,0
A062,03-03-2018,38513,Self-Employed,16,48,2,373,2,0,0,29,340,28653,16183,0
A063,04-03-2018,77555,Employed,5,36,0,499,6,0,0,22,691,9580,29447,1
A064,05-03-2018,15000,Employed,1,48,0,528,6,0,0,3,1111,274582,1077,0
A065,06-03-2018,24973,Employed,30,48,3,336,1,0,0,12,1547,30121,14823,0
A066,07-03-2018,18248,Employed,37,24,0,733,2,0,0,20,548,11483,192648,0
A067,08-03-2018,67367,Self-Employed,15,48,1,317,4,0,0,24,5430,16012,99087,1
A068,09-03-2018,32418,Employed,29,12,2,447,1,0,0,3,533,12696,313319,0
A069,10-03-2018,26879,Employed,21,60,1,562,3,0,0,29,3740,23485,71090,0
A070,11-03-2018,54128,Employed,11,36,0,322,2,0,0,7,388,4196,87804,1
A071,12-03-2018,19924,Employed,20,48,0,495,3,0,0,19,1679,8051,14660,0
A072,13-03-2018,90788,Employed,34,36,2,153,3,0,0,21,1139,32218,5911,1
A073,14-03-2018,190445,Employed,16,36,3,304,4,0,0,8,956,38230,115773,1
A074,15-03-2018,35372,Employed,38,24,1,424,3,0,0,26,3235,4752,119179,0
A075,16-03-2018,15000,Employed,0,48,1,537,10,0,1,26,3286,71478,82198,0
A076,17-03-2018,40829,Employed,25,36,1,785,3,0,0,14,1111,7348,34774,0
A077,18-03-2018,58655,Employed,16,96,4,206,4,0,0,13,1731,41991,22423,0
A078,19-03-2018,68801,Employed,14,36,0,1044,1,0,1,16,630,16938,429421,0
A079,20-03-2018,92731,Employed,19,48,1,396,4,0,0,3,1004,14838,7629,0
A080,21-03-2018,40050,Self-Employed,0,48,1,406,4,0,1,2,726,29714,7672,0
A081,22-03-2018,40784,Employed,14,72,0,370,3,0,0,27,1394,25549,172083,0
A082,23-03-2018,15000,Employed,23,48,0,378,3,0,0,21,2246,22556,474038,0
A083,24-03-2018,86699,Employed,39,60,0,413,6,0,0,24,8480,70691,8130,1
A084,25-03-2018,17676,Employed,8,48,4,226,4,0,0,21,1994,22271,48674,0
A085,26-03-2018,42752,Employed,4,36,2,363,3,0,0,2,1404,26438,146382,0
A086,27-03-2018,29096,Employed,12,24,3,685,2,0,0,19,1471,50013,36237,0
A087,28-03-2018,60992,Employed,30,48,0,664,0,0,0,17,1723,13350,38852,0
A088,29-03-2018,100032,Employed,21,60,0,824,5,1,0,29,302,4301,45588,1
A089,30-03-2018,35882,Employed,11,48,0,257,3,0,0,11,1162,91262,8266,0
A090,31-03-2018,32781,Employed,22,60,1,1180,4,0,0,19,2122,4938,294254,0
A091,01-04-2018,51707,Employed,18,72,3,407,5,0,0,7,1252,24580,2253,0
A092,02-04-2018,31251,Unemployed,30,24,0,357,2,0,1,25,945,37940,3276,0
A093,03-04-2018,22359,Employed,11,48,2,216,5,0,0,8,3578,46881,84640,0
A094,04-04-2018,152650,Employed,12,48,3,148,3,0,0,25,587,89100,37909,1
A095,05-04-2018,15120,Self-Employed,11,84,0,423,5,0,0,26,1245,14697,3825,0
A096,06-04-2018,59830,Self-Employed,0,24,2,246,3,0,0,9,329,13537,435808,1
A097,07-04-2018,55308,Employed,22,72,0,362,3,0,0,24,932,7871,93747,1
A098,08-04-2018,30948,Employed,17,36,0,286,1,0,0,25,291,21318,78660,0
A099,09-04-2018,56940,Employed,21,96,0,213,3,0,0,7,634,33321,64448,0
A100,10-04-2018,44000,Employed,13,60,3,457,3,0,0,29,2939,29418,301790,0
A101,11-04-2018,81554,Employed,4,72,1,519,5,0,0,24,1955,14641,69780,0
A102,12-04-2018,26567,Employed,13,60,1,194,1,0,0,14,512,81589,9625,0
A103,13-04-2018,33569,Employed,9,48,0,212,3,0,0,8,12534,23346,33106,0
A104,14-04-2018,94238,Employed,6,36,3,203,3,0,0,2,7940,13137,41531,1
A105,15-04-2018,45145,Employed,17,48,1,879,5,0,0,24,2678,26515,93155,1
A106,16-04-2018,70881,Employed,23,48,0,324,1,0,0,19,1136,21804,1188,0
A107,17-04-2018,105240,Employed,39,108,3,391,6,1,0,26,2516,28628,33814,0
A108,18-04-2018,63709,Unemployed,18,48,0,623,2,0,0,18,136,12851,68037,0
A109,19-04-2018,31713,Self-Employed,18,48,1,314,2,0,0,6,231,43113,6605,0
A110,20-04-2018,29900,Employed,17,72,3,589,3,0,0,4,2353,36682,2585,0
A111,21-04-2018,87673,Employed,0,72,3,725,4,0,1,19,551,5492,66069,1
A112,22-04-2018,55454,Self-Employed,16,36,3,1206,5,0,0,13,1098,27329,5939,0
A113,23-04-2018,40722,Employed,18,120,2,269,5,0,0,9,398,20184,121086,0
A114,24-04-2018,76571,Employed,49,48,1,407,7,0,0,3,3117,5915,72093,0
A115,25-04-2018,22901,Employed,14,48,2,288,1,0,0,6,3491,10098,89532,0
A116,26-04-2018,49421,Employed,21,72,3,438,3,0,0,8,1546,40586,9540,0
A117,27-04-2018,43507,Employed,16,48,3,544,4,1,0,15,5407,34764,6480,0
A118,28-04-2018,41402,Employed,4,36,4,419,2,0,0,21,6772,37402,4623,0
A119,29-04-2018,37405,Employed,30,48,0,442,3,0,1,19,762,29045,4530,0
A120,30-04-2018,48399,Employed,29,48,0,346,6,0,0,19,1120,16583,75230,0
A121,01-05-2018,44775,Employed,28,48,4,228,3,0,0,7,1348,64801,8511,0
A122,02-05-2018,125711,Employed,7,48,0,543,3,0,0,20,1592,10411,8014,1
A123,03-05-2018,15131,Employed,30,48,2,351,1,0,1,5,2915,15145,58703,0
A124,04-05-2018,73576,Employed,0,36,2,491,8,0,0,1,600,59651,4647,1
A125,05-05-2018,50345,Employed,22,48,1,441,2,0,0,1,785,3537,47177,0
A126,06-05-2018,56816,Employed,41,12,2,288,4,0,0,27,705,14955,621711,1
A127,07-05-2018,34588,Employed,0,48,0,444,4,0,0,1,256,11153,78693,0
A128,08-05-2018,55383,Employed,10,48,3,419,4,0,0,21,1948,6183,7531,1
A129,09-05-2018,65180,Employed,16,72,2,323,1,0,0,26,1662,61849,3079,1
A130,10-05-2018,15000,Employed,8,60,2,248,2,0,0,13,290,5651,21596,0
A131,11-05-2018,149736,Employed,0,48,0,604,1,0,0,9,2256,10999,279531,1
A132,12-05-2018,42717,Employed,14,24,3,326,2,0,0,24,759,10782,37949,0
A133,13-05-2018,66417,Employed,5,48,3,408,3,0,0,17,1060,24837,87273,1
A134,14-05-2018,22121,Employed,23,60,3,250,0,0,0,12,2669,7364,56022,0
A135,15-05-2018,37558,Employed,5,60,0,278,1,0,0,24,1163,17652,2660,0
A136,16-05-2018,134691,Employed,36,24,0,607,1,0,1,27,306,27992,20839,1
A137,17-05-2018,33101,Employed,7,60,0,358,3,0,0,19,1004,8784,211332,0
A138,18-05-2018,44364,Employed,10,36,1,313,3,0,0,12,764,8223,195449,1
A139,19-05-2018,38596,Employed,27,36,2,292,1,0,1,23,1118,121827,4304,0
A140,20-05-2018,139954,Unemployed,3,48,0,293,1,0,0,22,1429,5937,45696,0
A141,21-05-2018,53444,Unemployed,19,60,0,730,4,0,0,12,638,32195,11955,0
A142,22-05-2018,113523,Employed,33,60,0,427,4,0,0,18,2107,17536,112469,1
A143,23-05-2018,31270,Employed,1,12,1,151,5,0,1,20,478,31210,47138,0
A144,24-05-2018,46717,Employed,21,60,4,616,4,0,0,20,2885,11975,3094,0
A145,25-05-2018,56613,Employed,19,36,0,340,5,0,0,3,1730,47469,179210,0
A146,26-05-2018,86882,Employed,24,72,1,380,1,0,0,19,565,263937,4755,0
A147,27-05-2018,69876,Employed,5,96,1,545,3,0,0,15,506,7056,12570,0
A148,28-05-2018,32582,Self-Employed,4,60,0,231,5,0,0,21,1263,10978,21485,0
A149,29-05-2018,101562,Employed,23,84,3,323,6,0,1,14,378,36152,26110,0
A150,30-05-2018,24611,Unemployed,25,24,0,489,0,0,0,18,1352,20979,169077,0
A151,31-05-2018,22390,Employed,21,120,1,389,3,0,0,23,293,46780,8633,0
A152,01-06-2018,47430,Employed,25,60,5,377,2,0,0,17,505,32526,25415,0
A153,02-06-2018,57105,Employed,6,36,3,168,2,0,0,20,129,12673,1632,0
A154,03-06-2018,28751,Employed,21,60,0,343,1,0,0,5,2785,20305,13656,0
A155,04-06-2018,43567,Employed,17,24,2,308,3,0,0,10,4746,11319,119722,0
A156,05-06-2018,20113,Employed,6,36,1,347,2,0,0,2,1891,46478,52656,0
A157,06-06-2018,52633,Unemployed,41,120,5,347,0,1,0,27,730,68554,6415,0
A158,07-06-2018,93617,Employed,25,84,0,826,7,0,0,17,357,54410,25397,1
A159,08-06-2018,34276,Employed,3,96,3,365,3,0,0,26,42,5950,32248,0
A160,09-06-2018,25819,Self-Employed,25,36,0,103,2,0,0,5,1914,13848,49734,0
A161,10-06-2018,72220,Employed,5,36,1,533,2,0,0,28,1581,21847,103795,1
A162,11-06-2018,30032,Employed,28,24,0,148,3,0,0,1,524,20361,67597,0
A163,12-06-2018,259639,Employed,29,12,3,189,2,0,0,18,322,31385,2180,1
A164,13-06-2018,58238,Self-Employed,7,48,1,770,3,1,0,5,2519,9039,43114,0
A165,14-06-2018,91953,Employed,29,48,5,264,2,0,0,4,4094,16233,16980,1
A166,15-06-2018,22237,Employed,23,60,1,816,3,0,0,21,2124,23197,40922,0
A167,16-06-2018,74085,Employed,27,12,2,375,3,0,0,28,15912,75471,7553,0
A168,17-06-2018,33370,Employed,41,24,2,545,5,0,0,9,1022,124204,10973,0
A169,18-06-2018,36562,Employed,14,48,0,782,4,0,1,11,1405,9589,2603208,1
A170,19-06-2018,25658,Employed,7,36,3,374,1,0,0,6,480,16061,57777,0
A171,20-06-2018,75095,Employed,6,120,1,182,3,0,1,9,510,19771,41471,0
A172,21-06-2018,50657,Employed,4,48,2,638,7,0,0,14,475,16677,107416,0
A173,22-06-2018,48707,Employed,17,36,0,558,1,0,0,17,337,49436,69075,0
A174,23-06-2018,99138,Employed,19,48,4,472,2,0,0,24,152,42553,1156,1
A175,24-06-2018,48280,Employed,20,36,4,340,0,0,0,12,4229,18198,84027,0
A176,25-06-2018,88064,Employed,27,120,0,382,2,0,0,17,252,25181,135833,1
A177,26-06-2018,177855,Employed,18,60,0,280,3,0,0,26,947,5297,95498,1
A178,27-06-2018,55440,Employed,35,12,2,497,3,0,0,14,1312,11335,21118,0
A179,28-06-2018,44377,Employed,13,36,3,215,1,0,0,19,1457,7527,52424,1
A180,29-06-2018,115677,Employed,51,24,1,364,6,0,0,6,3522,36001,53022,0
A181,30-06-2018,163133,Employed,27,36,5,210,2,0,0,6,411,23228,61994,1
A182,01-07-2018,51989,Employed,5,72,3,351,5,0,0,3,391,10095,44452,0
A183,02-07-2018,28941,Employed,3,60,0,112,1,0,0,8,2041,88914,44144,0
A184,03-07-2018,117455,Unemployed,21,48,3,697,2,0,1,6,11199,9076,279360,1
A185,04-07-2018,68157,Employed,14,36,2,394,1,0,0,27,422,66526,3047,1
A186,05-07-2018,117456,Employed,24,36,5,451,2,0,0,24,949,20558,11421,1
A187,06-07-2018,84230,Employed,21,72,0,565,3,0,1,7,542,14843,14999,0
A188,07-07-2018,47910,Employed,15,24,3,447,4,0,0,10,2447,11745,57154,0
A189,08-07-2018,37709,Employed,8,60,1,435,5,0,1,9,543,16781,4672,0
A190,09-07-2018,73625,Employed,1,24,0,182,1,1,0,8,1252,20357,138741,0
A191,10-07-2018,19757,Employed,12,120,4,385,1,0,0,9,1330,106504,2757,0
A192,11-07-2018,111020,Employed,28,12,4,496,1,0,0,24,1167,13083,30012,1
A193,12-07-2018,54202,Unemployed,20,60,0,292,8,1,0,9,727,98490,4212,0
A194,13-07-2018,36184,Employed,6,48,3,210,5,0,0,9,611,27576,40775,0
A195,14-07-2018,56320,Employed,16,60,0,653,3,0,0,12,1449,11532,314536,1
A196,15-07-2018,111257,Employed,22,60,0,525,2,0,0,17,300,30649,1850,1
A197,16-07-2018,55172,Employed,6,36,0,317,4,0,0,9,1521,8200,74216,0
A198,17-07-2018,29020,Employed,16,60,2,158,2,0,0,4,862,10612,11602,0
A199,18-07-2018,19990,Employed,22,24,2,511,2,0,0,15,5786,7602,93057,0
A200,19-07-2018,196442,Employed,5,24,1,326,4,0,1,19,4810,128864,6837,1
A201,20-07-2018,21725,Employed,22,48,0,206,6,0,0,13,494,37492,53042,0
A202,21-07-2018,49098,Employed,24,72,3,352,2,0,1,24,2781,20084,2088,0
A203,22-07-2018,33061,Employed,30,36,3,384,5,0,0,25,801,65760,79011,1
A204,23-07-2018,91077,Employed,27,36,4,917,1,0,0,4,431,34929,5342,0
A205,24-07-2018,17270,Employed,0,36,2,858,5,0,0,29,1912,12998,25827,0
A206,25-07-2018,137635,Employed,4,48,2,285,6,0,0,8,4015,5554,8385,1
A207,26-07-2018,44523,Unemployed,23,96,3,90,2,0,0,28,1008,36282,6932,0
A208,27-07-2018,40998,Employed,26,48,1,463,3,0,0,18,1858,30888,7970,0
A209,28-07-2018,49839,Employed,28,108,3,565,1,1,0,20,651,29182,5439,0
A210,29-07-2018,48462,Employed,61,72,4,477,3,0,0,15,2076,66211,5097,0
A211,30-07-2018,37268,Employed,23,48,0,504,2,0,1,12,2447,10542,18740,0
A212,31-07-2018,85512,Employed,30,48,1,338,3,0,0,8,1188,52247,96908,1
A213,01-08-2018,16619,Employed,29,48,5,236,5,0,0,20,2098,43575,11195,0
A214,02-08-2018,30548,Employed,25,84,0,920,1,0,0,26,2417,29011,6851,0
A215,03-08-2018,108416,Unemployed,9,72,0,292,2,0,0,25,772,5965,61429,0
A216,04-08-2018,56255,Employed,28,24,0,573,3,0,0,4,658,44654,321457,1
A217,05-08-2018,35795,Employed,6,36,2,239,6,0,0,15,4134,34105,131828,0
A218,06-08-2018,20882,Employed,14,48,2,671,3,0,0,25,536,56021,88077,0
A219,07-08-2018,21573,Employed,12,48,0,194,4,0,0,15,229,3910,47843,0
A220,08-08-2018,86157,Employed,15,36,2,370,2,0,0,12,4485,33353,73344,1
A221,09-08-2018,29708,Unemployed,42,108,1,631,6,0,0,11,5039,15326,83146,0
A222,10-08-2018,77920,Employed,0,36,2,1093,1,0,0,20,2578,94587,5109,0
A223,11-08-2018,35187,Employed,24,48,1,572,2,0,1,9,502,13229,11091,0
A224,12-08-2018,53299,Self-Employed,0,36,0,630,0,0,0,24,1968,10093,165827,0
A225,13-08-2018,54605,Employed,11,24,1,462,6,0,0,18,399,59277,3640,1
A226,14-08-2018,36754,Self-Employed,30,36,1,674,0,0,0,14,5057,21422,117533,0
A227,15-08-2018,37426,Employed,19,24,0,153,3,0,0,25,1145,1466,170152,0
A228,16-08-2018,29512,Employed,5,60,1,455,3,0,0,18,5251,65744,3661,0
A229,17-08-2018,34589,Employed,10,60,3,285,2,0,0,16,1002,55009,17138,0
A230,18-08-2018,56584,Unemployed,24,36,2,115,4,0,0,25,1269,6443,115778,1
A231,19-08-2018,32777,Employed,9,60,2,392,4,0,1,15,4937,5740,114409,0
A232,20-08-2018,70901,Self-Employed,22,60,0,582,4,0,0,4,522,19402,23706,0
A233,21-08-2018,52184,Self-Employed,19,48,3,356,5,0,0,3,4696,52369,82766,0
A234,22-08-2018,43451,Employed,14,36,0,564,2,0,0,1,7400,11575,47111,0
A235,23-08-2018,23881,Employed,43,60,4,678,1,0,0,26,3206,91806,5423,0
A236,24-08-2018,44248,Self-Employed,24,36,2,499,5,0,0,12,1886,20206,50429,0
A237,25-08-2018,15885,Employed,0,84,0,264,6,0,0,27,3975,23662,278826,0
A238,26-08-2018,39637,Employed,16,24,4,337,4,0,0,7,554,22402,174623,0
A239,27-08-2018,48777,Employed,8,72,3,176,4,0,0,4,446,30965,69125,0
A240,28-08-2018,43208,Employed,26,84,3,361,4,0,0,6,678,73184,2671,0
A241,29-08-2018,18662,Employed,11,60,1,511,4,0,0,12,149,7676,87204,0
A242,30-08-2018,42209,Self-Employed,16,48,0,395,3,0,0,1,524,14222,102388,0
A243,31-08-2018,99222,Employed,24,120,1,281,1,0,0,21,1353,6849,13821,0
A244,01-09-2018,27279,Employed,29,72,0,590,3,0,0,28,5782,46510,71005,0
A245,02-09-2018,15000,Employed,4,48,2,253,1,0,1,9,627,47479,78519,0
A246,03-09-2018,75376,Employed,16,36,3,448,4,1,0,8,860,12731,4964,0
A247,04-09-2018,25096,Employed,14,96,3,312,1,0,1,24,1263,21671,125038,0
A248,05-09-2018,34817,Employed,8,48,0,570,3,0,0,1,669,110774,2880,0
A249,06-09-2018,68306,Employed,39,24,2,441,3,0,0,3,298,20178,4148,0
A250,07-09-2018,58991,Employed,23,48,0,248,4,0,0,10,838,53110,2967,1
A251,08-09-2018,92237,Employed,2,96,0,417,4,0,0,17,1088,99055,44061,0
A252,09-09-2018,52241,Employed,26,12,0,1434,4,0,0,23,645,37802,4632,0
A253,10-09-2018,66407,Employed,42,48,1,235,3,0,0,19,1628,11353,31667,0
A254,11-09-2018,20071,Employed,28,36,0,484,3,0,0,7,440,38320,54748,0
A255,12-09-2018,69356,Self-Employed,0,72,1,530,3,0,0,16,769,61996,2166,0
A256,13-09-2018,31043,Employed,13,96,2,852,1,0,0,19,1243,10360,42394,0
A257,14-09-2018,300000,Employed,32,36,3,1099,2,0,1,5,5654,27790,212190,1
A258,15-09-2018,34233,Employed,5,60,0,189,6,0,0,17,95,15644,4017,0
A259,16-09-2018,81867,Employed,20,36,0,390,1,0,0,13,1142,4629,20078,0
A260,17-09-2018,79592,Self-Employed,25,60,3,290,3,1,0,29,1395,36001,354369,1
A261,18-09-2018,45466,Unemployed,5,84,0,256,2,1,1,15,709,36072,259643,0
A262,19-09-2018,75932,Employed,14,12,2,350,1,0,0,20,329,157337,71127,0
A263,20-09-2018,160729,Employed,0,48,2,179,3,0,0,1,1667,10820,47782,1
A264,21-09-2018,29349,Employed,9,96,2,389,5,0,0,4,1186,54858,2007,0
A265,22-09-2018,15000,Employed,16,12,1,195,4,0,0,29,1172,143736,7278,0
A266,23-09-2018,22698,Employed,2,36,1,165,5,0,0,8,681,18803,102389,0
A267,24-09-2018,117989,Employed,40,48,3,642,3,0,1,4,303,15765,50135,1
A268,25-09-2018,28842,Employed,1,120,2,255,7,0,0,28,1157,12303,25107,0
A269,26-09-2018,197755,Employed,13,24,1,310,6,0,0,26,1145,45400,7368,1
A270,27-09-2018,80502,Employed,19,36,2,430,4,0,0,17,253,87065,2473,0
A271,28-09-2018,26541,Employed,35,48,0,410,2,0,0,26,79,50710,67057,0
A272,29-09-2018,19683,Employed,0,96,1,339,3,0,1,21,1296,28738,10776,0
A273,30-09-2018,45788,Employed,29,24,3,86,3,0,0,12,3377,75842,23478,0
A274,01-10-2018,16070,Unemployed,18,96,1,371,3,0,0,2,1003,4811,103702,0
A275,02-10-2018,42043,Employed,6,108,0,470,2,0,0,14,6029,47593,1357,0
A276,03-10-2018,90083,Employed,25,36,4,433,1,0,0,23,596,43396,28630,1
A277,04-10-2018,28481,Unemployed,17,36,0,412,4,0,0,27,3032,6641,6937,0
A278,05-10-2018,16274,Employed,11,36,1,503,2,0,0,4,1134,19193,298417,0
A279,06-10-2018,25192,Employed,20,36,2,480,4,0,0,25,2204,57162,85929,0
A280,07-10-2018,78101,Employed,12,36,4,345,7,0,0,11,212,8541,19905,0
A281,08-10-2018,73312,Employed,20,24,2,160,5,0,1,28,1062,19872,55474,0
A282,09-10-2018,72434,Employed,26,72,4,839,2,0,0,24,207,29176,6844,1
A283,10-10-2018,160132,Employed,36,24,3,474,2,0,0,19,422,80918,6854,1
A284,11-10-2018,15000,Employed,3,60,3,497,1,0,0,20,994,14099,47644,0
A285,12-10-2018,49341,Employed,38,36,0,487,3,0,0,18,923,42926,38528,0
A286,13-10-2018,47185,Unemployed,0,48,2,231,0,0,1,23,2057,11470,17312,0
A287,14-10-2018,107659,Employed,14,96,1,399,5,0,0,25,3367,12852,146526,1
A288,15-10-2018,179664,Employed,28,24,0,542,2,0,0,24,1045,51416,10869,1
A289,16-10-2018,81136,Employed,22,48,0,395,4,0,0,22,1917,149347,7161,1
A290,17-10-2018,86245,Employed,12,48,4,581,6,0,0,23,722,25797,4917,1
A291,18-10-2018,98074,Employed,16,60,3,495,1,0,0,6,1472,43942,3853,1
A292,19-10-2018,23559,Employed,11,96,1,425,2,0,0,15,1543,8274,15436,0
A293,20-10-2018,39808,Employed,7,60,3,365,2,0,0,20,1722,10880,29243,1
A294,21-10-2018,18856,Employed,27,36,0,355,3,0,0,10,4164,29120,42456,0
A295,22-10-2018,101388,Employed,22,48,0,209,0,0,0,9,874,9400,62523,1
A296,23-10-2018,80085,Employed,10,48,1,790,3,0,0,26,912,35862,60191,1
A297,24-10-2018,22787,Employed,25,60,0,328,3,0,0,27,2273,150658,2918,0
A298,25-10-2018,30579,Employed,16,120,0,533,0,0,0,16,380,7544,11459,0
A299,26-10-2018,15004,Employed,26,84,0,675,5,0,0,24,1581,55539,2329,0
A300,27-10-2018,49936,Self-Employed,23,120,2,480,2,0,0,15,338,21651,1116683,1
A301,28-10-2018,26960,Employed,7,36,5,454,3,0,0,10,3283,34140,48358,0
A302,29-10-2018,18391,Employed,9,96,4,423,2,0,0,19,2000,1830,31569,0
A303,30-10-2018,51404,Employed,28,12,2,191,7,0,0,2,2393,40986,36315,0
A304,31-10-2018,175236,Employed,25,48,1,461,5,0,0,26,262,70745,199907,1
A305,01-11-2018,101044,Employed,16,36,1,247,2,0,0,6,943,29039,57727,1
A306,02-11-2018,40358,Employed,16,60,4,367,2,0,0,8,529,6591,59741,0
A307,03-11-2018,63122,Self-Employed,34,24,3,373,2,0,0,6,893,6340,43576,0
A308,04-11-2018,140216,Employed,14,48,0,411,2,0,0,13,1304,115451,9989,1
A309,05-11-2018,120353,Employed,24,72,3,624,2,0,0,9,957,42977,3694,0
A310,06-11-2018,41312,Self-Employed,12,36,1,850,4,0,0,7,520,14701,69997,0
A311,07-11-2018,57679,Employed,18,72,3,1535,3,0,0,11,515,11556,27803,0
